FirstLast,Last,First,MidInit,MidName,Year,YearsPlayed
James Dawson,Dawson,James,,,2010,3
Michael Caldwell,Caldwell,Michael,,,2009,4
Jeff Dawson,Dawson,Jeff,,,2009,4
Joshua Lederman,Lederman,Joshua,,,2009,4
Thomas Santoro,Santoro,Thomas,,,2009,4
Rory Green,Green,Rory,,,2008,4
Joseph Vellanikaran,Vellanikaran,Joseph,,,2008,4
Christopher Lawler,Lawler,Christopher,,,2007,3
Brandon Wai,Wai,Brandon,,,2007,4
Matthew Feldman,Feldman,Matthew,,,2006,4
Milosz Gudzowski,Gudzowski,Milosz,,,2006,4
Rowan Reynolds,Reynolds,Rowan,,,2006,4
William Vidal,Vidal,William,,,2006,4
Johnny Lu,Lu,Johnny,,,2005,4
Ryan Murphy,Murphy,Ryan,,,2005,4
Andrew Arons,Arons,Andrew,,,2005,4
Daniel Clemens,Clemens,Daniel,,,2005,1
David Goldman,Goldman,David,,,2004,4
Andrew Rosenfeld,Rosenfeld,Andrew,,,2004,4
Dustin West,West,Dustin,,,2004,2
Dan Arellano,Arellano,Dan,,,2004,4
Neil Tolaney,Tolaney,Neil,,,2004,4
Steven Berke,Berke,Steven,,,2003,3
Mark Dinner,Dinner,Mark,,,2003,1
Prateek Tandon,Tandon,Prateek,,,2003,3
Ben Woodhouse,Woodhouse,Ben,,,2003,3
Gabriel Goldstein,Goldstein,Gabriel,,,2002,4
Ryan Coyle,Coyle,Ryan,,,2002,4
Christopher Shackelton,Shackelton,Christopher,,,2002,4
Eli Weiss,Weiss,Eli,,,2002,1
Darren Plokhooy,Plokhooy,Darren,,,2001,2
Bartol Letica,Letica,Bartol,,,2000,1
Jonathan Beardsley,Beardsley,Jonathan,,,1999,4
David Beynet,Beynet,David,,,1999,4
Reid Lerner,Lerner,Reid,,,1999,4
Andrew Tang,Tang,Andrew,,,1998,4
Mark Warnken,Warnken,Mark,,,1998,4
Robert Keith,Keith,Robert,,,1998,1
Aaron Lipson,Lipson,Aaron,,,1997,3
Martin Amann,Amann,Martin,,,1997,4
Cullen McMahon,McMahon,Cullen,,,1997,4
Scott Seelbach,Seelbach,Scott,,,1997,2
Michael Slimack,Slimack,Michael,,,1996,4
Josef Tesarik,Tesarik,Josef,,,1996,4
Seth Gordon,Gordon,Seth,,,1996,4
Damon Latanzi,Latanzi,Damon,,,1996,4
Royal Hansen,Hansen,Royal,,,1995,1
Adam Mandell,Mandell,Adam,,,1995,4
Aleksanteri Seppala,Seppala,Aleksanteri,,,1994,4
Stephen Griesemer,Griesemer,Stephen,,,1994,4
Robert Pohly,Pohly,Robert,S.,,1994,4
Juan Rossello,Rossello,Juan,,,1994,4
Mark Brittan,Brittan,Mark,,,1994,1
Chi-Wai Lam,Lam,Chi-Wai,,,1994,2
Raj Vaswani,Vaswani,Raj,,,1994,1
J. Henry Morsman,Morsman,J. Henry,,4th,1993,1
Marc Howard,Howard,Marc,,,1993,4
Neal Kaufman,Kaufman,Neal,,,1993,1
Matthew Quall,Quall,Matthew,,,1993,4
Anthony Aizer,Aizer,Anthony,,,1992,4
Daniel Gordon,Gordon,Daniel,,,1992,3
Jason Halperin,Halperin,Jason,,,1992,1
Kenneth Katz,Katz,Kenneth,,,1992,1
Shubert Koong,Koong,Shubert,,,1992,2
Robert Morse,Morse,Robert,,,1992,4
Jeffrey Leslie,Leslie,Jeffrey,,,1992,2
Ian Shapiro,Shapiro,Ian,,,1992,1
Jeffrey Wyshner,Wyshner,Jeffrey,,,1992,2
Craig Kennedy,Kennedy,Craig,,,1991,3
Richard Theobald,Theobald,Richard,,,1991,4
Daniel Englander,Englander,Daniel,,,1991,3
Paul Jamieson,Jamieson,Paul,,,1991,2
Edward Kaplan,Kaplan,Edward,,,1991,2
Lee Engquist,Engquist,Lee,E.,,1991,3
David Gollob,Gollob,David,,,1990,4
Chris Adams,Adams,Chris,,,1990,2
Scott Beers,Beers,Scott,,,1990,1
William Featherston,Featherston,William,,,1990,4
Cameron Ragen,Ragen,Cameron,,,1990,4
Samuel Schoonmaker,Schoonmaker,Samuel,,,1990,2
William Sibold,Sibold,William,,,1989,4
John Atwater,Atwater,John,,,1989,3
Robert Lawrence,Lawrence,Robert,,,1989,1
William Schief,Schief,William,,,1989,1
Christopher Torchia,Torchia,Christopher,,,1989,2
Barron Fletcher,Fletcher,Barron,,,1989,3
John Kim,Kim,John,,,1988,4
William Benjes,Benjes,William,D.,,1988,4
David Hoffman,Hoffman,David,H.,,1988,1
Matthew Whitehead,Whitehead,Matthew,J.,,1988,1
Jonathan Rosensweig,Rosensweig,Jonathan,P.,,1988,3
Robin Selati,Selati,Robin,P.,,1988,4
David Katz,Katz,David,S.,,1988,1
Stephen Donovan,Donovan,Stephen,,,1988,2
Andrew Thurstone,Thurstone,Andrew,B.,,1987,4
Todd Khoury,Khoury,Todd,N.,,1987,4
Douglas Robson,Robson,Douglas,O.,,1987,4
Grant Little,Little,Grant,F.,,1987,2
Jacob Wegrzyn,Wegrzyn,Jacob,M.,,1987,4
Wayne Pacelle,Pacelle,Wayne,P.,,1987,2
Edward Barkin,Barkin,Edward,S.,,1987,2
Brandon Chabner,Chabner,Brandon,S.,,1987,2
Daniel Bromberg,Bromberg,Daniel,H.,,1986,3
Daniel Solomon,Solomon,Daniel,H.,,1986,4
D. Shane Read,Read,D. Shane,,,1986,4
Neal Cavallon,Cavallon,Neal,B.,,1986,3
Mark Alexander,Alexander,Mark,C.,,1986,1
Philip Simotas,Simotas,Philip,E.,,1986,1
Charles Decell,Decell,Charles,F.,,1986,1
Dean Chadwin,Chadwin,Dean,K.,,1986,1
Christopher Vojta,Vojta,Christopher,L.,,1986,2
Bruce Herzog,Herzog,Bruce,C.,,1985,3
George Staniar,Staniar,George,S.,,1985,4
Robert Gudbranson,Gudbranson,Robert,K.,,1985,1
Sunil Hingorani,Hingorani,Sunil,R.,,1985,1
Martin Wostenholme,Wostenholme,Martin,C.,,1984,4
William Forstmann,Forstmann,William,A.,,1984,1
Robert Crates,Crates,Robert,B.,,1984,1
Paul Stoffel,Stoffel,Paul,B.,,1984,2
Andrew Fisher,Fisher,Andrew,D.,,1984,1
Bruce Pompan,Pompan,Bruce,L.,,1984,4
David Barnes,Barnes,David,M.,,1984,1
Dominic Tordjmann,Tordjmann,Dominic,T.,,1984,1
Michael Reynal,Reynal,Michael,A.,,1983,4
Glenn Layendecker,Layendecker,Glenn,W.,,1983,4
Neil Solomon,Solomon,Neil,A.,,1983,2
Richard Crews,Crews,Richard,C.,,1983,2
Charles Neuhaus,Neuhaus,Charles,E.,,1983,2
Michael Cavallon,Cavallon,Michael,F.,,1983,2
David Jordan,Jordan,David,H.,,1983,1
Mercer Bullard,Bullard,Mercer,E.,,1983,1
David Gerger,Gerger,David,B.,,1982,1
Hunter Reisner,Reisner,Hunter,S.,,1982,1
Clare Draper,Draper,Clare,H.,4th,1982,3
Alberto Franco,Franco,Alberto,,,1982,4
William McAfee,McAfee,William,A.,,1982,2
Steven Zuckerman,Zuckerman,Steven,A.,,1982,2
Mark Tenhundfeld,Tenhundfeld,Mark,J.,,1982,2
David Labriola,Labriola,David,K.,,1982,2
Stephen Prothero,Prothero,Stephen,R.,,1982,2
Harold Wrobel,Wrobel,Harold,S.,,1982,2
Douglas Kelly,Kelly,Douglas,J.,,1981,1
Michael Sicular,Sicular,Michael,J.,,1981,1
Steven Sorscher,Sorscher,Steven,M.,,1981,1
Malcolm Whitman,Whitman,Malcolm,R.,,1981,1
John Stiepel,Stiepel,John,F.,,1981,4
Stewart Hudson,Hudson,Stewart,J.,,1981,3
Thomas Simcik,Simcik,Thomas,J.,,1981,3
Keith Rudman,Rudman,Keith,M.,,1981,3
James Broder,Broder,James,S.,,1981,1
Steven Epstein,Epstein,Steven,A.,,1981,2
Edward Lazarus,Lazarus,Edward,P.,,1981,2
Francis Steel,Steel,Francis,P.,,1981,2
Robert Gould,Gould,Robert,R.,,1981,2
Lewis Chodish,Chodish,Lewis,A.,,1981,2
James Murphy,Murphy,James,A.,,1981,1
Michael Sircular,Sircular,Michael,J.,,1981,1
William Raszka,Raszka,William,V.,,1981,1
Willis Hulings,Hulings,Willis,J.,,1980,1
Hal Freeman,Freeman,Hal,,,1980,1
David Huskey,Huskey,David,K.,,1980,1
Dale De La Torre,De La Torre,Dale,R.,,1980,1
William Brady,Brady,William,F.,3rd,1980,3
William Laffer,Laffer,William,G.,,1980,1
William Kerr,Kerr,William,O.,,1980,1
Todd Hillman,Hillman,Todd,H.,,1980,2
Elliot Peters,Peters,Elliot,R.,,1980,1
Andrew Fleming,Fleming,Andrew,T.,,1980,2
James Chud,Chud,James,,,1980,1
Eric Sorscher,Sorscher,Eric,J.,,1979,1
Laurence Leeds,Leeds,Laurence,C.,“Cary”,1979,2
Bradley Dressler,Dressler,Bradley,P.,,1979,3
Gregory Kim,Kim,Gregory,R.,,1979,1
Geoffrey Tabin,Tabin,Geoffrey,C.,,1978,3
Barnaby Starr,Starr,Barnaby,F.,,1978,1
James Kaufman,Kaufman,James,H.,,1978,4
Richard Lumsden,Lumsden,Richard,J.,,1978,1
Jack Cobetto,Cobetto,Jack,B.,,1978,1
Matthew Doyle,Doyle,Matthew,N.,,1978,1
Sverre Munck,Munck,Sverre,C.,,1977,1
John Schotz,Schotz,John,P.,,1977,1
Reuben Holden,Holden,Reuben,A.,5th,1976,1
Christopher Williams,Williams,Christopher,,,1976,4
Jonathan Thomas,Thomas,Jonathan,Y.,,1976,4
Derrick Niederman,Niederman,Derrick,C.,,1976,3
William Feltus,Feltus,William,J.,,1976,2
Luis Acosta,Acosta,Luis,M.,,1976,3
Steven Cremer,Cremer,Steven,A.,,1976,1
Christopher Swenson,Swenson,Christopher,B.,,1975,4
Hugo Black,Black,Hugo,L.,,1975,1
John Shostrum,Shostrum,John,M.,,1975,3
Paul Bartel,Bartel,Paul,W.,,1975,2
Daniel Grossman,Grossman,Daniel,L.,,1974,3
Kevin Bradley,Bradley,Kevin,P.,,1974,1
Thomas Cunningham,Cunningham,Thomas,R.,,1974,1
David Mielke,Mielke,David,C.,,1974,2
Jeffrey Wilday,Wilday,Jeffrey,M.,,1974,2
William Banner,Banner,William,P.,,1974,1
William Gaines,Gaines,William,L.,,1973,3
Henry Anderson,Anderson,Henry,M.,,1973,3
Philip St. Georges,St. Georges,Philip,M.,,1973,2
Hayden Kirk,Kirk,Hayden,S.,,1973,1
Neil Allen,Allen,Neil,A.,,1972,3
William Cleveland,Cleveland,William,C.,,1972,3
Peter Lawler,Lawler,Peter,C.,,1972,2
Brian Mitchell,Mitchell,Brian,P.,,1972,3
Wick Chambers,Chambers,Wick,R.,,1971,2
Scott Osborne,Osborne,Scott,B.,,1971,2
Philip Svigals,Svigals,Philip,B.,,1971,3
John Tansey,Tansey,John,D.,,1971,3
James Latting,Latting,James,T.,,1971,2
Andrew Pachner,Pachner,Andrew,R.,,1971,2
James Harvie,Harvie,James,B.,,1971,1
Ronald Netter,Netter,Ronald,A.,,1970,2
Peter MacPartland,MacPartland,Peter,J.,,1970,3
Peter Heydemann,Heydemann,Peter,T.,,1970,3
Mark Kaplanoff,Kaplanoff,Mark,D.,,1970,2
Michael Mueller,Mueller,Michael,E.,,1969,2
Jerome Gary,Gary,Jerome,S.D.,,1969,2
Paul Henry,Henry,Paul,W.,,1969,1
Richard Breitman,Breitman,Richard,D.,,1969,2
Lathrop Gates,Gates,Lathrop,M.,,1969,2
Marshall Taylor,Taylor,Marshall,M.,,1969,1
Frederick London,London,Frederick,S.,,1969,2
Alexander Tan,Tan,Alexander,P.,,1969,1
David Ketner,Ketner,David,S.,,1969,1
Robert Mccallum,Mccallum,Robert,D., Jr,1968,3
Robert Haar,Haar,Robert,A.,,1968,3
Steven Orthwein,Orthwein,Steven,A.,,1968,3
Jeffrey Westcott,Westcott,Jeffrey,B.,,1968,3
John Anderson,Anderson,John,G.,,1968,3
William Keeton,Keeton,William,R.,,1968,3
Henry Rosen,Rosen,Henry,,,1968,1
Jerome Glenn,Glenn,Jerome,L.,,1967,1
Michael Brooks,Brooks,Michael,C.,,1967,3
Richard Fates,Fates,Richard,J.,,1967,3
Jack Waltz,Waltz,Jack,R.,,1967,3
J. Michael Ladd,Ladd,J. Michael,,,1967,1
John Westcott,Westcott,John,McM., Jr,1966,3
William Tucker,Tucker,William,C.,,1966,1
Donald Mcauslan,Mcauslan,Donald,L.,,1966,2
Hamlet Barry,Barry,Hamlet,J.,,1966,2
Robert Dunlop,Dunlop,Robert,H.,3rd,1965,3
Peter Appleton,Appleton,Peter,B.,,1965,2
Peter Southard,Southard,Peter,C.,,1965,1
Christopher Kinney,Kinney,Christopher,F.,,1965,2
Kent Nelson,Nelson,Kent,S.,,1965,2
William Taylor,Taylor,William,H.,3rd,1964,1
Robert Archer,Archer,Robert,A.,,1964,3
David Brooks,Brooks,David,M.,,1964,2
Dennis Lynch,Lynch,Dennis,P.,,1964,3
William Reynolds,Reynolds,William,B.,,1964,2
William Morse,Morse,William,M.,,1964,2
Donald Christianson,Christianson,Donald,R.,,1964,1
Carroll Parry,Parry,Carroll,D.,3rd,1963,3
Michael Neely,Neely,Michael,G.,,1963,3
Charles Frank,Frank,Charles,A.,,1963,3
Ralph Howe,Howe,Ralph,E.,,1963,3
Robert Hetherington,Hetherington,Robert,G.,,1963,3
Steven Mackinnon,Mackinnon,Steven,R.,,1963,3
Arthur Griffith,Griffith,Arthur,W.,,1963,1
Thomas Hartch,Hartch,Thomas,F.,,1963,1
Tristam Brooks,Brooks,Tristam,A.,,1962,3
Sidney Wood,Wood,Sidney,B.B.,,1962,1
Stuart Ludlum,Ludlum,Stuart,D.,,1962,3
Ogden Phipps,Phipps,Ogden,,,1962,1
Neal Ormond,Ormond,Neal,,,1962,1
Theodore Joyner,Joyner,Theodore,C.,,1961,2
Steven Anderson,Anderson,Steven,T.,,1961,2
John Gunnin,Gunnin,John,,,1961,1
Robert Killebrew,Killebrew,Robert,,,1961,1
Philip Spalding,Spalding,Philip,,,1961,1
Samuel Howe,Howe,Samuel,P.,3rd,1960,3
Richard Wallace,Wallace,Richard,C.,,1960,3
Donald Dell,Dell,Donald,L.,,1960,3
Eugene Scott,Scott,Eugene,L.,,1960,3
G. Whitney Biggs,Biggs,G. Whitney,,,1960,3
Samuel Heyman,Heyman,Samuel,J.,,1960,1
James Ervin,Ervin,James,C.,,1960,1
Gifford Hopkins,Hopkins,Gifford,D.,,1960,1
Thomas Freiberg,Freiberg,Thomas,A., Jr,1959,3
Alexander Wiener,Wiener,Alexander,L., Jr,1959,3
Robert Laird,Laird,Robert,W., Jr,1959,1
Maitland Jones,Jones,Maitland,,,1959,1
Jonathan Clark,Clark,Jonathan,M.,,1959,3
John Oettinger,Oettinger,John,R.,,1959,1
Peter Cox,Cox,Peter,W.,,1959,1
Edward Prince,Prince,Edward,M.,,1959,3
Newell Augur,Augur,Newell,A., Jr,1958,2
Samuel Schoonmaker,Schoonmaker,Samuel,V.,,1958,3
Edward Bennett,Bennett,Edward,B.,,1958,2
Harold Williamson,Williamson,Harold,F.,,1958,1
Philip Ness,Ness,Philip,W.,,1958,1
John Skillman,Skillman,John,F., Jr,1957,1
J. Edward Meyer,Meyer,J. Edward,,,1957,3
John Appel,Appel,John,,,1957,1
Warren Cox,Cox,Warren,J.,,1957,1
Conrad Fisher,Fisher,Conrad,W.,,1957,2
John Somerville,Somerville,John,W.,,1957,1
John Williamson,Williamson,John,R., Jr,1956,2
Michael Mccone,Mccone,Michael,F.,,1956,1
Gordon Ambach,Ambach,Gordon,M.,,1956,1
Eric Moore,Moore,Eric,B.,,1956,3
Michael Marron,Marron,Michael,R.,,1956,2
Bryan Gatewood,Gatewood,Bryan,M.,,1956,2
Peter Albin,Albin,Peter,S.,,1956,1
Sam English,English,Sam,O., Jr,1955,3
Robert Kresch,Kresch,Robert,B.,,1955,1
William Cranston,Cranston,William,E.,,1955,2
Richard Raskind,Raskind,Richard,H.,,1955,3
Lawrence Dessner,Dessner,Lawrence,J.,,1955,2
Leslie Pollack,Pollack,Leslie,M.,,1955,2
Alan Englander,Englander,Alan,S.,,1955,3
Jules Cohen,Cohen,Jules,A.,,1955,2
David Seifer,Seifer,David,,,1954,3
James Mcclellan,Mcclellan,James,,,1954,1
G. Barrett Rich,Rich,G. Barrett,,,1954,1
Charles Workman,Workman,Charles,E.,,1954,2
Barry Seymour,Seymour,Barry,T.,,1954,2
Robert Dewey,Dewey,Robert,M., Jr,1953,1
Alexander Ewing,Ewing,Alexander,C.,,1953,1
Frank Maloney,Maloney,Frank,C.,3rd,1953,1
Henry Blodget,Blodget,Henry,,,1953,2
George Bass,Bass,George,S.,,1953,1
Dudley Coates,Coates,Dudley,W.,,1953,1
Benjamin Ten Eyck,Ten Eyck,Benjamin,L.B.,,1953,1
Nicholas Brady,Brady,Nicholas,F.,,1952,1
David Maxwell,Maxwell,David,O.,,1952,1
Charles Weinstock,Weinstock,Charles,,,1952,1
Arthur Keeley,Keeley,Arthur,J.,,1952,1
Theodore Wood,Wood,Theodore,E.B.,,1952,3
Alan Schwartz,Schwartz,Alan,G.,,1952,3
Alan Fischl,Fischl,Alan,J.,,1952,3
Edgar Bright,Bright,Edgar,A.G., Jr,1951,3
Stephen Sicard,Sicard,Stephen,,,1951,1
Charles Stokes,Stokes,Charles,E.,3rd,1951,3
Richard Norris,Norris,Richard,H.,3rd,1951,3
Nelson Hooe,Hooe,Nelson,D.,,1951,3
Richard Bliss,Bliss,Richard,M.,,1951,3
Gordon Aymar,Aymar,Gordon,C., Jr,1950,1
Harold Hands,Hands,Harold,E., Jr,1950,2
Winslow Lovejoy,Lovejoy,Winslow,M., Jr,1950,1
Vincent Murphy,Murphy,Vincent,B., Jr,1950,1
Kinloch Yellott,Yellott,Kinloch,N., Jr,1950,1
Bruce Bayne,Bayne,Bruce,,,1950,1
Harold Upjohn,Upjohn,Harold,L.,,1950,1
Peter Russell,Russell,Peter,G.,,1950,1
Chester Laroche,Laroche,Chester,R.,,1950,1
Philip Smith,Smith,Philip,S.,,1950,2
Irvin Gendler,Gendler,Irvin,A.,,1950,1
Robert Sayre,Sayre,Robert,H.,4th,1950,1
Roderick Potter,Potter,Roderick, Jr,,1950,1
Edwin Early,Early,Edwin,F.,,1950,1
Richard Barry,Barry,Richard,M.,,1950,1
Charles Lynch,Lynch,Charles,A.,,1950,4
Jack Sloat,Sloat,Jack,W.,,1950,2
Broughton Bishop,Bishop,Broughton,H.,,1950,1
Lawrason Sayre,Sayre,Lawrason,R.,,1950,1
James Herman,Herman,James,S.,,1950,1
Jaime Del Corral,Del Corral,Jaime,M.,,1949,3
Rolor Ray,Ray,Rolor,E.,,1949,4
Linton Baldwin,Baldwin,Linton,H.,,1949,3
Charles Carr,Carr,Charles,R.,,1949,1
Heman Gifford,Gifford,Heman, Jr,,1949,1
J. Arthur Kessler,Kessler,J. Arthur,, Jr,1948,2
Narcey Firouz,Firouz,Narcey,,,1948,1
Philip Ward,Ward,Philip,H.,,1948,1
Eugene Dines,Dines,Eugene, Jr,,1948,2
William Ford,Ford,William,C.,,1948,2
Richard Hunt,Hunt,Richard,M.,,1948,4
John Helms,Helms,John,E.,3rd,1948,1
Charles Ritchie,Ritchie,Charles,L., Jr,1947,2
James Boyle,Boyle,James,T., Jr,1947,1
Henry Ewald,Ewald,Henry,T., Jr,1947,1
C. Wesley Kittleman,Kittleman,C. Wesley,, Jr,1947,1
Robert Sutton,Sutton,Robert,J.,,1947,1
Jack Geller,Geller,Jack,,,1947,3
Miles Suchin,Suchin,Miles,B.,,1947,2
George Bell,Bell,George,deB.,,1947,2
Carleton Badger,Badger,Carleton,M.,,1947,3
William Ylvisaker,Ylvisaker,William,T.,,1947,2
Alexander Murray,Murray,Alexander, 3rd,,1947,1
Charles Clark,Clark,Charles,H.,,1947,2
Victor Kiam,Kiam,Victor,K.,,1947,1
